Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Fresh-Pounds ,123.4098582,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Canning-Pounds ,17.33755326,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Freezing-Pounds ,4.743122175,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Dried-Pounds ,12.80448833,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Juice-Pounds ,116.3937929,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Other process-Pounds ,0.294668055,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Total processed fruit-Pounds ,151.5736247,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Total fruit-Pounds ,274.9834829,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Fresh-Pounds ,188.0479875,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Canning-Pounds ,108.2129065,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Freezing-Pounds ,78.84020083,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Dried-Pounds ,14.53062685,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Potatoes for chips-Pounds ,16.11567546,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Legumes-Pounds ,8.457004611,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Processing-Total processed vegetables-Pounds ,226.1564142,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Vegetables-Total vegetables-Pounds ,414.2044017,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Total fruit and vegetables-Pounds ,689.1878846,Computed from unrounded data.
