Commodity,Year,Attribute,Value,Notes
"Fluid milk: Total availability, million pounds",1913,Whole milk-Plain-Consumed where produced-Million pounds,9732,
"Fluid milk: Total availability, million pounds",1914,Whole milk-Plain-Consumed where produced-Million pounds,9950,
"Fluid milk: Total availability, million pounds",1915,Whole milk-Plain-Consumed where produced-Million pounds,9691,
"Fluid milk: Total availability, million pounds",1916,Whole milk-Plain-Consumed where produced-Million pounds,9613,
"Fluid milk: Total availability, million pounds",1917,Whole milk-Plain-Consumed where produced-Million pounds,9514,
"Fluid milk: Total availability, million pounds",1918,Whole milk-Plain-Consumed where produced-Million pounds,9369,
"Fluid milk: Total availability, million pounds",1919,Whole milk-Plain-Consumed where produced-Million pounds,9182,
"Fluid milk: Total availability, million pounds",1920,Whole milk-Plain-Consumed where produced-Million pounds,9793,
"Fluid milk: Total availability, million pounds",1921,Whole milk-Plain-Consumed where produced-Million pounds,10324,
"Fluid milk: Total availability, million pounds",1922,Whole milk-Plain-Consumed where produced-Million pounds,10826,
"Fluid milk: Total availability, million pounds",1923,Whole milk-Plain-Consumed where produced-Million pounds,11164,
"Fluid milk: Total availability, million pounds",1924,Whole milk-Plain-Consumed where produced-Million pounds,11659,
"Fluid milk: Total availability, million pounds",1925,Whole milk-Plain-Consumed where produced-Million pounds,11403,
"Fluid milk: Total availability, million pounds",1926,Whole milk-Plain-Consumed where produced-Million pounds,11175,
"Fluid milk: Total availability, million pounds",1927,Whole milk-Plain-Consumed where produced-Million pounds,10871,
"Fluid milk: Total availability, million pounds",1928,Whole milk-Plain-Consumed where produced-Million pounds,10562,
"Fluid milk: Total availability, million pounds",1929,Whole milk-Plain-Consumed where produced-Million pounds,10093,
"Fluid milk: Total availability, million pounds",1930,Whole milk-Plain-Consumed where produced-Million pounds,10061,
"Fluid milk: Total availability, million pounds",1931,Whole milk-Plain-Consumed where produced-Million pounds,10406,
"Fluid milk: Total availability, million pounds",1932,Whole milk-Plain-Consumed where produced-Million pounds,10760,
"Fluid milk: Total availability, million pounds",1933,Whole milk-Plain-Consumed where produced-Million pounds,10887,
"Fluid milk: Total availability, million pounds",1934,Whole milk-Plain-Consumed where produced-Million pounds,10879,
"Fluid milk: Total availability, million pounds",1935,Whole milk-Plain-Consumed where produced-Million pounds,10619,
"Fluid milk: Total availability, million pounds",1936,Whole milk-Plain-Consumed where produced-Million pounds,10308,
